Estimate,Est Length,Bill No,Item,Stretch,Length,Mbook,Pages,Date
Main,8000,Bill No. 11,Embankment,500-1000,500,17005,20-25,6/27/2025
Main,8000,Bill No. 11,Embankment,1000-1100,100,17005,20-25,6/27/2025
Main,8000,Bill No. 12,Embankment,1450-1500,50,17005,34-37,7/29/2025
Main,8000,Bill No. 09,Embankment,1500-2000,500,17005,11-14,5/20/2025
Main,8000,Bill No. 08,Embankment,2000-2300,300,17005,7-9,4/17/2025
Main,8000,Bill No. 14,Embankment,2300-2350,50,17005,50-51,9/20/2025
Main,8000,Bill No. 10,Embankment,2350-2625,275,17005,16-18,6/20/2025
Main,8000,Bill No. 15,Embankment,2900-3000,100,17005,69-71,10/28/2025
Main,8000,Bill No. 15,Embankment,3125-3150,25,17005,69-71,10/28/2025
Main,8000,Bill No. 12,Embankment,3150-3275,125,17005,34-37,7/29/2025
Main,8000,Bill No. 07,Embankment,3275-3600,325,17005,1-5,3/25/2025
Main,8000,Bill No. 07,Embankment,3600-3775,175,17005,1-5,3/25/2025
Main,8000,Bill No. 12,Embankment,3775-3950,175,17005,34-37,7/29/2025
Main,8000,Bill No. 10,Embankment,4025-4300,275,17006,13-15,6/20/2025
Main,8000,Bill No. 08,Embankment,4425-4675,250,17006,7-11,4/17/2025
Main,8000,Bill No. 08,Embankment,4675-4725,50,17006,7-11,4/17/2025
Main,8000,Bill No. 15,Embankment,4725-5000,275,17006,56-57,11/18/2025
Main,8000,Bill No. 11,Embankment,5350-5500,150,17006,17-20,6/27/2025
Main,8000,Bill No. 11,Embankment,5500-5600,100,17006,17-20,6/27/2025
Main,8000,Bill No. 12,Embankment,5650-5800,150,17006,28-30,7/29/2025
Main,8000,Bill No. 11,Embankment,6050-6150,100,17006,17-20,6/27/2025
Main,8000,Bill No. 12,Embankment,6275-6300,25,17006,28-30,7/29/2025
Main,8000,Bill No. 07,Embankment,6300-6450,150,17006,1-4,3/25/2025
Main,8000,Bill No. 08,Embankment,6550-6775,225,17006,7-11,4/17/2025
Main,8000,Bill No. 08,Embankment,6775-6875,100,17006,7-11,4/17/2025
Main,8000,Bill No. 12,Embankment,6875-6950,75,17006,28-30,7/29/2025
Main,8000,Bill No. 16,Embankment,6950-7000,50,17005,80-81,12/20/2025
Main,8000,Bill No. 16,Embankment,7000-7150,150,17005,80-81,12/20/2025
Main,8000,Bill No. 07,Embankment,7150-7300,150,17006,1-4,3/25/2025
Main,8000,Bill No. 12,Subgrade,500-1000,500,17005,38-40,05.08.2025
Main,8000,Bill No. 15,Subgrade,1000-1100,100,17005,72-73,04.11.2025
Main,8000,Bill No. 12,Subgrade,1500-1620,120,17005,38-40,05.08.2025
Main,8000,Bill No. 11,Subgrade,1620-2300,680,17005,26-28,04.07.2025
Main,8000,Bill No. 14,Subgrade,2300-2370,70,17005,52-53,27.09.2025
Main,8000,Bill No. 11,Subgrade,2370-2620,250,17005,26-28,04.07.2025
Main,8000,Bill No. 15,Subgrade,2900-3200,300,17005,72-73,04.11.2025
